num_mes,anio,mes,departamento,salario,cant_salario,cod_dpto
1,2015,Ene,Norte de Santander,$2.000.001 0 $3.000.000,22,18
1,2015,Ene,Norte de Santander,$3.000.001 0 $4.000.000,11,18
1,2015,Ene,Norte de Santander,$4.000.001 0 $6.000.000,13,18
1,2015,Ene,Norte de Santander,$6.000.001 0 $8.000.000,2,18
1,2015,Ene,Norte de Santander,$8.000.001 0 $10.000.000,0,18
1,2015,Ene,Norte de Santander,$10.000.0010$12.000.000,0,18
1,2015,Ene,Norte de Santander,$12.000.0010$15.000.000,0,18
1,2015,Ene,Norte de Santander,>$15.000.001,0,18
1,2015,Ene,Norte de Santander,A convenir,35,18
1,2015,Ene,Norte de Santander,No especifica Salario,0,18
1,2015,Ene,Putumayo,Salario Mínimo,3,27
1,2015,Ene,Putumayo,Salario Mínimo 0 $1.000.000,5,27
1,2015,Ene,Putumayo,$1.000.001 0 $1.500.000,8,27
1,2015,Ene,Putumayo,$1.500.001 0 $2.000.000,7,27
1,2015,Ene,Putumayo,$2.000.001 0 $3.000.000,13,27
1,2015,Ene,Putumayo,$3.000.001 0 $4.000.000,3,27
1,2015,Ene,Putumayo,$4.000.001 0 $6.000.000,2,27
1,2015,Ene,Putumayo,$6.000.001 0 $8.000.000,2,27
1,2015,Ene,Putumayo,$8.000.001 0 $10.000.000,0,27
1,2015,Ene,Putumayo,$10.000.0010$12.000.000,0,27
1,2015,Ene,Putumayo,$12.000.0010$15.000.000,0,27
1,2015,Ene,Putumayo,>$15.000.001,0,27
1,2015,Ene,Putumayo,A convenir,134,27
1,2015,Ene,Putumayo,No especifica Salario,0,27
1,2015,Ene,Quindío,Salario Mínimo,37,19
1,2015,Ene,Quindío,Salario Mínimo 0 $1.000.000,62,19
1,2015,Ene,Quindío,$1.000.001 0 $1.500.000,49,19
1,2015,Ene,Quindío,$1.500.001 0 $2.000.000,16,19
1,2015,Ene,Quindío,$2.000.001 0 $3.000.000,21,19
1,2015,Ene,Quindío,$3.000.001 0 $4.000.000,10,19
1,2015,Ene,Quindío,$4.000.001 0 $6.000.000,12,19
1,2015,Ene,Quindío,$6.000.001 0 $8.000.000,0,19
1,2015,Ene,Quindío,$8.000.001 0 $10.000.000,0,19
1,2015,Ene,Quindío,$10.000.0010$12.000.000,0,19
1,2015,Ene,Quindío,$12.000.0010$15.000.000,0,19
1,2015,Ene,Quindío,>$15.000.001,0,19
1,2015,Ene,Quindío,A convenir,23,19
1,2015,Ene,Quindío,No especifica Salario,2,19
1,2015,Ene,Risaralda,Salario Mínimo,30,20
1,2015,Ene,Risaralda,Salario Mínimo 0 $1.000.000,178,20
1,2015,Ene,Risaralda,$1.000.001 0 $1.500.000,105,20
1,2015,Ene,Risaralda,$1.500.001 0 $2.000.000,36,20
1,2015,Ene,Risaralda,$2.000.001 0 $3.000.000,45,20
1,2015,Ene,Risaralda,$3.000.001 0 $4.000.000,13,20
1,2015,Ene,Risaralda,$4.000.001 0 $6.000.000,10,20
1,2015,Ene,Risaralda,$6.000.001 0 $8.000.000,1,20
1,2015,Ene,Risaralda,$8.000.001 0 $10.000.000,0,20
1,2015,Ene,Risaralda,$10.000.0010$12.000.000,0,20
1,2015,Ene,Risaralda,$12.000.0010$15.000.000,0,20
